player_name,lineup_spot,projection_source,mean_pa,mean_ab,mean_1b,mean_2b,mean_3b,mean_hr,mean_bb,mean_r,mean_rbi,mean_avg,mean_obp,mean_slg,mean_ops,median_pa,median_ab,median_1b,median_2b,median_3b,median_hr,median_bb,median_r,median_rbi,p10_runs,p90_runs,p10_rbi,p90_rbi,p10_hr,p90_hr
Jj,1,season_blended,53.106,48.022,17.608,5.307,1.218,2.204,5.084,22.373,12.246,0.548,0.614,0.847,1.461,53.000,48.000,18.000,5.000,1.000,2.000,5.000,22.000,12.000,17.000,28.000,7.000,18.000,0.000,4.000
Glove,2,season_blended,52.187,49.953,18.599,4.894,2.970,4.538,2.234,24.728,20.896,0.621,0.680,1.110,1.790,52.000,50.000,18.000,5.000,3.000,4.000,2.000,25.000,20.000,20.000,30.000,14.000,29.000,2.000,7.000
Tristan,3,season_blended,51.334,48.596,11.461,5.896,1.496,10.352,2.738,24.475,33.329,0.601,0.673,1.423,2.096,51.000,49.000,11.000,6.000,1.000,10.000,3.000,24.000,33.000,19.000,30.000,23.000,44.000,7.000,14.000
Tim,4,career_fallback,50.490,48.513,11.302,5.070,4.950,8.193,1.977,21.473,29.299,0.608,0.702,1.424,2.126,50.000,48.000,11.000,5.000,5.000,8.000,2.000,21.000,29.000,17.000,26.000,20.000,39.000,5.000,11.000
Kives,5,season_blended,49.602,48.117,16.623,3.754,3.341,2.310,1.485,14.389,15.656,0.541,0.614,0.902,1.516,50.000,48.000,17.000,4.000,3.000,2.000,1.000,14.000,15.000,10.000,19.000,10.000,22.000,1.000,4.000
Porter,6,season_blended,48.551,46.032,14.407,5.789,1.859,2.185,2.520,11.788,14.826,0.527,0.558,0.876,1.433,49.000,46.000,14.000,6.000,2.000,2.000,2.000,12.000,14.000,8.000,16.000,9.000,21.000,1.000,4.000
Walsh,7,season_blended,47.574,45.249,9.788,3.147,1.546,2.380,2.324,8.911,12.052,0.373,0.428,0.668,1.096,48.000,45.000,10.000,3.000,1.000,2.000,2.000,9.000,12.000,5.000,13.000,7.000,18.000,1.000,4.000
Duff,8,season_blended,46.207,44.347,15.676,3.066,2.583,0.211,1.860,7.949,9.101,0.486,0.540,0.686,1.226,46.000,44.000,16.000,3.000,2.000,0.000,2.000,8.000,9.000,5.000,11.000,5.000,14.000,0.000,1.000
Joey,9,season_blended,45.130,43.835,19.710,0.620,0.000,0.000,1.295,6.391,6.086,0.464,0.493,0.478,0.971,45.000,44.000,20.000,0.000,0.000,0.000,1.000,6.000,6.000,3.000,10.000,3.000,9.000,0.000,0.000
Corey,10,season_blended,44.008,41.929,14.064,2.384,0.248,0.237,2.078,7.223,6.032,0.404,0.470,0.490,0.960,44.000,42.000,14.000,2.000,0.000,0.000,2.000,7.000,6.000,4.000,11.000,3.000,10.000,0.000,1.000
Joel,11,season_blended,42.713,42.415,16.060,2.088,0.000,0.000,0.298,8.773,5.315,0.428,0.481,0.477,0.959,43.000,42.000,16.000,2.000,0.000,0.000,0.000,9.000,5.000,5.000,12.000,2.000,9.000,0.000,0.000
Jason,12,season_blended,41.406,34.947,9.691,0.604,0.000,0.000,6.459,10.366,4.000,0.295,0.459,0.312,0.771,41.000,35.000,10.000,0.000,0.000,0.000,6.000,10.000,4.000,7.000,14.000,1.900,7.000,0.000,0.000
